OBJECTID,Join_Count,TARGET_FID,JOIN_FID,Station_ID,State,Network,Station_Na,Latitude,Longitude,Elevation,HUC2__2_di,HUC2_Name,HUC4__4_di,HUC4_Name,HUC6__6_di,HUC6_Name,HUC8__8_di,HUC8_Name,HUC10__10_,HUC10_Name,HUC12__12_,HUC12_Name,Report_Tim,Start_Date,End_Date,AREA,PERIMETER,OBJECTID_1,LEVEL2,LEVEL1,LEVEL3,Shape_Leng,OID_,NAME,Area_2,Hectares,PLY_HITS,SumPaAr,PctEcoRgn,NAME_L1,NAME_L2,Label
14,0,14,-1,957,AK,SNOTEL,Atigun Pass,68.129829999999998,-149.478170000000006,4800,19,Alaska Region,1908,Middle Yukon River,190802,Chandalar-Christian River,19080201,Middle Fork-North Fork Chandalar Rivers,1908020101,Upper North Fork Chandalar River,190802000000.000000000000000,Chandalar Shelf,-9,10/1/1981 0:00:00,1/1/2100 0:00:00,,,14,,,,,,,,,,,,,,
15,1,15,44,306,ID,SNOTEL,Atlanta Summit,43.756900000000002,-115.239069999999998,7580,17,Pacific Northwest Region,1705,Middle Snake,170501,Middle Snake-Boise,17050111,North and Middle Forks Boise,1705011102,Queens River-Middle Fork Boise River,170501000000.000000000000000,Bald Mountain Creek-Middle Fork Boise River,-8,10/1/1978 0:00:00,1/1/2100 0:00:00,60100000000.000000000000000,1827047.699999999953434,15,6.200000000000000,6,6.2.15,1827047.652819999959320,72,Idaho Batholith,60148719955.800003051757813,6014872,1602,54884009030.000000000000000,91,Northwestern Forested Mountains,Western Cordillera,6.2.15: Idaho Batholith
16,1,16,43,307,MT,SNOTEL,Badger Pass,48.130879999999998,-113.023169999999993,6900,10,Missouri Region,1003,Missouri-Marias,100302,Marias,10030201,Two Medicine,1003020102,Badger Creek,100302000000.000000000000000,North Badger Creek,-8,10/1/1968 0:00:00,1/1/2100 0:00:00,105000000000.000000000000000,3552727.000000000000000,16,6.200000000000000,6,6.2.4,3552726.910310000181198,61,Canadian Rockies,104576356933.000000000000000,10457636,373,52702792361.099998474121094,50,Northwestern Forested Mountains,Western Cordillera,6.2.4: Canadian Rockies
17,1,17,14,308,AZ,SNOTEL,Baker Butte,34.456600000000002,-111.406430000000000,7300,15,Lower Colorado Region,1506,Salt,150602,Verde,15060203,Lower Verde,1506020302,East Verde River,150602000000.000000000000000,Pine Creek,-8,10/1/1965 0:00:00,1/1/2100 0:00:00,83000000000.000000000000000,2498455.200000000186265,17,13.100000000000000,13,13.1.1,2498455.297230000142008,151,Arizona/New Mexico Mountains,83016512601.300003051757813,8301651,2562,52850099511.500000000000000,63,Temperate Sierras,Upper Gila Mountains,13.1.1: Arizona/New Mexico Mountains
18,1,18,14,1140,AZ,SNOTEL,Baker Butte Smt,34.455469999999998,-111.382720000000006,7700,15,Lower Colorado Region,1506,Salt,150602,Verde,15060203,Lower Verde,1506020301,West Clear Creek,150602000000.000000000000000,Toms Creek,-8,5/18/2009 0:00:00,1/1/2100 0:00:00,83000000000.000000000000000,2498455.200000000186265,18,13.100000000000000,13,13.1.1,2498455.297230000142008,151,Arizona/New Mexico Mountains,83016512601.300003051757813,8301651,2562,52850099511.500000000000000,63,Temperate Sierras,Upper Gila Mountains,13.1.1: Arizona/New Mexico Mountains
19,1,19,27,309,WY,SNOTEL,Bald Mtn.,44.800699999999999,-107.844420000000000,9380,10,Missouri Region,1008,Big Horn,100800,Big Horn,10080010,Big Horn Lake,1008001005,Crooked Creek,100800000000.000000000000000,Commissary Creek-Crooked Creek,-8,10/1/1975 0:00:00,1/1/2100 0:00:00,6320000000.000000000000000,510159.530000000027940,19,6.200000000000000,6,6.2.10,510159.495197999989614,67,Middle Rockies,6319380321.130000114440918,631938,177,4786756297.130000114440918,75,Northwestern Forested Mountains,Western Cordillera,6.2.10: Middle Rockies
20,1,20,14,310,AZ,SNOTEL,Baldy,33.978830000000002,-109.503439999999998,9125,15,Lower Colorado Region,1502,Little Colorado,150200,Little Colorado,15020001,Little Colorado Headwaters,1502000102,South Fork Little Colorado River-Little Colorado River,150200000000.000000000000000,Hall Creek-Little Colorado River,-8,11/1/1949 0:00:00,1/1/2100 0:00:00,83000000000.000000000000000,2498455.200000000186265,20,13.100000000000000,13,13.1.1,2498455.297230000142008,151,Arizona/New Mexico Mountains,83016512601.300003051757813,8301651,2562,52850099511.500000000000000,63,Temperate Sierras,Upper Gila Mountains,13.1.1: Arizona/New Mexico Mountains
21,1,21,45,311,MT,SNOTEL,Banfield Mountain,48.571199999999997,-115.445729999999998,5600,17,Pacific Northwest Region,1701,Kootenai-Pend Oreille-Spokane,170101,Kootenai,17010101,Middle Kootenai,1701010112,Bristow Creek-Kootenai River,170101000000.000000000000000,Bristow Creek,-8,10/1/1968 0:00:00,1/1/2100 0:00:00,179000000000.000000000000000,4034976.500000000000000,21,6.200000000000000,6,6.2.3,4034976.375150000210851,60,Columbia Mountains/Northern Rockies,178711091686.000000000000000,17871109,4702,58104385821.500000000000000,32,Northwestern Forested Mountains,Western Cordillera,6.2.3: Columbia Mountains/Northern Rockies
22,1,22,44,312,ID,SNOTEL,Banner Summit,44.303420000000003,-115.234470000000002,7040,17,Pacific Northwest Region,1705,Middle Snake,170501,Middle Snake-Boise,17050120,South Fork Payette,1705012002,Canyon Creek-South Fork Payette River,170501000000.000000000000000,Canyon Creek,-8,10/1/1979 0:00:00,1/1/2100 0:00:00,60100000000.000000000000000,1827047.699999999953434,22,6.200000000000000,6,6.2.15,1827047.652819999959320,72,Idaho Batholith,60148719955.800003051757813,6014872,1602,54884009030.000000000000000,91,Northwestern Forested Mountains,Western Cordillera,6.2.15: Idaho Batholith
23,1,23,14,1212,AZ,SNOTEL,Bar M,34.861359999999998,-111.605029999999999,6393,15,Lower Colorado Region,1506,Salt,150602,Verde,15060202,Upper Verde,1506020206,Beaver Creek,150602000000.000000000000000,Bar M Canyon,-8,9/6/2012 0:00:00,1/1/2100 0:00:00,83000000000.000000000000000,2498455.200000000186265,23,13.100000000000000,13,13.1.1,2498455.297230000142008,151,Arizona/New Mexico Mountains,83016512601.300003051757813,8301651,2562,52850099511.500000000000000,63,Temperate Sierras,Upper Gila Mountains,13.1.1: Arizona/New Mexico Mountains
24,1,24,34,313,MT,SNOTEL,Barker Lakes,46.097130000000000,-113.130380000000002,8250,17,Pacific Northwest Region,1701,Kootenai-Pend Oreille-Spokane,170102,Pend Oreille,17010201,Upper Clark Fork,1701020103,Warm Springs Creek,170102000000.000000000000000,Warm Springs Creek-West Valley,-8,8/1/1977 0:00:00,1/1/2100 0:00:00,134000000000.000000000000000,3913764.200000000186265,24,6.200000000000000,6,6.2.10,3913764.233450000174344,67,Middle Rockies,133880389297.000000000000000,13388039,4843,96748903179.399993896484375,72,Northwestern Forested Mountains,Western Cordillera,6.2.10: Middle Rockies
25,1,25,34,314,WY,SNOTEL,Base Camp,43.940190000000001,-110.445440000000005,7060,17,Pacific Northwest Region,1704,Upper Snake,170401,Snake Headwaters,17040101,Snake Headwaters,1704010103,Moose Creek-Snake River,170401000000.000000000000000,Berry Creek,-8,10/1/1979 0:00:00,1/1/2100 0:00:00,134000000000.000000000000000,3913764.200000000186265,25,6.200000000000000,6,6.2.10,3913764.233450000174344,67,Middle Rockies,133880389297.000000000000000,13388039,4843,96748903179.399993896484375,72,Northwestern Forested Mountains,Western Cordillera,6.2.10: Middle Rockies
26,1,26,34,315,MT,SNOTEL,Basin Creek,45.797370000000001,-112.520470000000003,7180,17,Pacific Northwest Region,1701,Kootenai-Pend Oreille-Spokane,170102,Pend Oreille,17010201,Upper Clark Fork,1701020102,Silver Bow Creek Headwaters,170102000000.000000000000000,Basin Creek,-8,10/1/1976 0:00:00,1/1/2100 0:00:00,134000000000.000000000000000,3913764.200000000186265,26,6.200000000000000,6,6.2.10,3913764.233450000174344,67,Middle Rockies,133880389297.000000000000000,13388039,4843,96748903179.399993896484375,72,Northwestern Forested Mountains,Western Cordillera,6.2.10: Middle Rockies
27,1,27,22,316,NM,SNOTEL,Bateman,36.512160000000002,-106.321290000000005,9300,13,Rio Grande Region,1302,Rio Grande-Elephant Butte,130201,Upper Rio Grande,13020102,Rio Chama,1302010209,Arroyo Seco,130201000000.000000000000000,Montoya Canyon-Canjilon Creek,-8,10/1/1978 0:00:00,1/1/2100 0:00:00,144000000000.000000000000000,5410028.000000000000000,27,6.200000000000000,6,6.2.14,5410027.891010000370443,71,Southern Rockies,144347694381.000000000000000,14434769,11884,88090710613.100006103515625,61,Northwestern Forested Mountains,Western Cordillera,6.2.14: Southern Rockies
28,1,28,22,317,WY,SNOTEL,Battle Mountain,41.054130000000001,-107.266090000000005,7440,14,Upper Colorado Region,1405,White-Yampa,140500,White-Yampa,14050003,Little Snake,1405000301,Little Snake River-Battle Creek,140500000000.000000000000000,West Fork Battle Creek,-8,10/1/1985 0:00:00,1/1/2100 0:00:00,144000000000.000000000000000,5410028.000000000000000,28,6.200000000000000,6,6.2.14,5410027.891010000370443,71,Southern Rockies,144347694381.000000000000000,14434769,11884,88090710613.100006103515625,61,Northwestern Forested Mountains,Western Cordillera,6.2.14: Southern Rockies
29,1,29,34,318,MT,SNOTEL,Beagle Springs,44.471469999999997,-112.981909999999999,8850,10,Missouri Region,1002,Missouri Headwaters,100200,Missouri Headwaters,10020001,Red Rock,1002000105,Nicholia Creek,100200000000.000000000000000,Upper Nicholia Creek,-8,10/1/1976 0:00:00,1/1/2100 0:00:00,134000000000.000000000000000,3913764.200000000186265,29,6.200000000000000,6,6.2.10,3913764.233450000174344,67,Middle Rockies,133880389297.000000000000000,13388039,4843,96748903179.399993896484375,72,Northwestern Forested Mountains,Western Cordillera,6.2.10: Middle Rockies
30,1,30,44,319,ID,SNOTEL,Bear Basin,44.952219999999997,-116.142930000000007,5350,17,Pacific Northwest Region,1706,Lower Snake,170602,Salmon,17060210,Little Salmon,1706021001,Upper Little Salmon River,170602000000.000000000000000,Upper Goose Creek,-8,10/1/1979 0:00:00,1/1/2100 0:00:00,60100000000.000000000000000,1827047.699999999953434,30,6.200000000000000,6,6.2.15,1827047.652819999959320,72,Idaho Batholith,60148719955.800003051757813,6014872,1602,54884009030.000000000000000,91,Northwestern Forested Mountains,Western Cordillera,6.2.15: Idaho Batholith
31,1,31,34,320,ID,SNOTEL,Bear Canyon,43.743670000000002,-113.937970000000007,7900,17,Pacific Northwest Region,1704,Upper Snake,170402,Upper Snake,17040218,Big Lost,1704021801,Star Hope Creek,170402000000.000000000000000,Upper Star Hope Creek,-8,10/1/1979 0:00:00,1/1/2100 0:00:00,134000000000.000000000000000,3913764.200000000186265,31,6.200000000000000,6,6.2.10,3913764.233450000174344,67,Middle Rockies,133880389297.000000000000000,13388039,4843,96748903179.399993896484375,72,Northwestern Forested Mountains,Western Cordillera,6.2.10: Middle Rockies
32,1,32,5,321,NV,SNOTEL,Bear Creek,41.833840000000002,-115.452780000000004,8040,17,Pacific Northwest Region,1705,Middle Snake,170501,Middle Snake-Boise,17050102,Bruneau,1705010203,Upper Jarbidge River,170501000000.000000000000000,West Fork Pine Creek-Jarbidge River,-8,3/1/1976 0:00:00,1/1/2100 0:00:00,142000000000.000000000000000,4208281.000000000000000,32,10.100000000000000,10,10.1.3,4208280.980340000241995,135,Northern Basin and Range,141971219172.000000000000000,14197122,4279,105832010818.000000000000000,74,North American Deserts,Cold Deserts,10.1.3: Northern Basin and Range
33,1,33,1,1166,OR,SNOTEL,Bear Grass,44.325299999999999,-122.093800000000002,4720,17,Pacific Northwest Region,1709,Willamette,170900,Willamette,17090004,Mckenzie,1709000402,Headwaters McKenzie River,170900000000.000000000000000,Smith River,-8,7/18/2011 0:00:00,1/1/2100 0:00:00,44700000000.000000000000000,2397485.500000000000000,33,6.200000000000000,6,6.2.7,2397485.614360000006855,64,Cascades,44747440340.500000000000000,4474744,3329,30607392777.799999237060547,68,Northwestern Forested Mountains,Western Cordillera,6.2.7: Cascades
34,1,34,22,322,CO,SNOTEL,Bear Lake,40.311180000000000,-105.644829999999999,9500,10,Missouri Region,1019,South Platte,101900,South Platte,10190006,Big Thompson,1019000602,Headwaters Big Thompson River,101900000000.000000000000000,Glacier Creek,-8,10/1/1979 0:00:00,1/1/2100 0:00:00,144000000000.000000000000000,5410028.000000000000000,34,6.200000000000000,6,6.2.14,5410027.891010000370443,71,Southern Rockies,144347694381.000000000000000,14434769,11884,88090710613.100006103515625,61,Northwestern Forested Mountains,Western Cordillera,6.2.14: Southern Rockies
35,1,35,45,323,ID,SNOTEL,Bear Mountain,48.305770000000003,-116.074479999999994,5400,17,Pacific Northwest Region,1701,Kootenai-Pend Oreille-Spokane,170102,Pend Oreille,17010213,Lower Clark Fork,1701021312,Lightning Creek,170102000000.000000000000000,Middle Lightning Creek,-8,10/1/1979 0:00:00,1/1/2100 0:00:00,179000000000.000000000000000,4034976.500000000000000,35,6.200000000000000,6,6.2.3,4034976.375150000210851,60,Columbia Mountains/Northern Rockies,178711091686.000000000000000,17871109,4702,58104385821.500000000000000,32,Northwestern Forested Mountains,Western Cordillera,6.2.3: Columbia Mountains/Northern Rockies
36,1,36,22,1061,CO,SNOTEL,Bear River,40.061529999999998,-107.009550000000004,9080,14,Upper Colorado Region,1405,White-Yampa,140500,White-Yampa,14050001,Upper Yampa,1405000101,Headwaters Yampa River,140500000000.000000000000000,Yamcolo Reservoir-Bear River,-8,10/1/2004 0:00:00,1/1/2100 0:00:00,144000000000.000000000000000,5410028.000000000000000,36,6.200000000000000,6,6.2.14,5410027.891010000370443,71,Southern Rockies,144347694381.000000000000000,14434769,11884,88090710613.100006103515625,61,Northwestern Forested Mountains,Western Cordillera,6.2.14: Southern Rockies
37,1,37,9,992,UT,SNOTEL,Bear River RS,40.885199999999998,-110.827699999999993,8777,16,Great Basin Region,1601,Bear,160101,Upper Bear,16010101,Upper Bear,1601010101,Stillwater Fork-Bear River,160101000000.000000000000000,Cottonwood Creek-Mill Creek,-8,10/28/2010 0:00:00,1/1/2100 0:00:00,44700000000.000000000000000,2717030.200000000186265,37,6.200000000000000,6,6.2.13,2717030.170359999872744,70,Wasatch and Uinta Mountains,44678389660.400001525878906,4467839,3964,30088257535.200000762939453,67,Northwestern Forested Mountains,Western Cordillera,6.2.13: Wasatch and Uinta Mountains
38,1,38,46,324,ID,SNOTEL,Bear Saddle,44.605330000000002,-116.980969999999999,6180,17,Pacific Northwest Region,1705,Middle Snake,170501,Middle Snake-Boise,17050124,Weiser,1705012410,Mann Creek,170501000000.000000000000000,Upper Mann Creek,-8,10/1/1979 0:00:00,1/1/2100 0:00:00,70800000000.000000000000000,2071008.000000000000000,38,6.200000000000000,6,6.2.9,2071007.989820000017062,66,Blue Mountains,70756821948.899993896484375,7075682,3716,37742788243.099998474121094,53,Northwestern Forested Mountains,Western Cordillera,6.2.9: Blue Mountains
39,1,39,27,325,WY,SNOTEL,Bear Trap Meadow,43.887430000000002,-107.061350000000004,8200,10,Missouri Region,1009,Powder-Tongue,100902,Powder,10090201,Middle Fork Powder,1009020102,Lower Middle Fork Powder River,100902000000.000000000000000,Upper North Fork Red Fork Powder River,-8,10/1/1979 0:00:00,1/1/2100 0:00:00,6320000000.000000000000000,510159.530000000027940,39,6.200000000000000,6,6.2.10,510159.495197999989614,67,Middle Rockies,6319380321.130000114440918,631938,177,4786756297.130000114440918,75,Northwestern Forested Mountains,Western Cordillera,6.2.10: Middle Rockies
40,1,40,34,326,WY,SNOTEL,Beartooth Lake,44.943069999999999,-109.567430000000002,9360,10,Missouri Region,1007,Upper Yellowstone,100700,Upper Yellowstone,10070006,Clarks Fork Yellowstone,1007000602,Crandall Creek,100700000000.000000000000000,Beartooth Creek,-8,10/1/1979 0:00:00,1/1/2100 0:00:00,134000000000.000000000000000,3913764.200000000186265,40,6.200000000000000,6,6.2.10,3913764.233450000174344,67,Middle Rockies,133880389297.000000000000000,13388039,4843,96748903179.399993896484375,72,Northwestern Forested Mountains,Western Cordillera,6.2.10: Middle Rockies
41,1,41,22,327,CO,SNOTEL,Beartown,37.714089999999999,-107.512119999999996,11600,13,Rio Grande Region,1301,Rio Grande Headwaters,130100,Rio Grande Headwaters,13010001,Rio Grande Headwaters,1301000101,Headwaters Rio Grande,130100000000.000000000000000,Bear Creek-Rio Grande,-8,10/1/1979 0:00:00,1/1/2100 0:00:00,144000000000.000000000000000,5410028.000000000000000,41,6.200000000000000,6,6.2.14,5410027.891010000370443,71,Southern Rockies,144347694381.000000000000000,14434769,11884,88090710613.100006103515625,61,Northwestern Forested Mountains,Western Cordillera,6.2.14: Southern Rockies
42,1,42,22,1041,CO,SNOTEL,Beaver Ck Village,39.599170000000001,-106.511420000000001,8500,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010003,Eagle,1401000303,Middle Eagle River,140100000000.000000000000000,Beaver Creek-Eagle Creek,-8,11/1/2002 0:00:00,1/1/2100 0:00:00,144000000000.000000000000000,5410028.000000000000000,42,6.200000000000000,6,6.2.14,5410027.891010000370443,71,Southern Rockies,144347694381.000000000000000,14434769,11884,88090710613.100006103515625,61,Northwestern Forested Mountains,Western Cordillera,6.2.14: Southern Rockies
43,1,43,34,328,MT,SNOTEL,Beaver Creek,44.949660000000002,-111.358519999999999,7850,10,Missouri Region,1002,Missouri Headwaters,100200,Missouri Headwaters,10020007,Madison,1002000704,Earthquake Lake-Madison River,100200000000.000000000000000,Upper Beaver Creek,-8,10/1/1966 0:00:00,1/1/2100 0:00:00,134000000000.000000000000000,3913764.200000000186265,43,6.200000000000000,6,6.2.10,3913764.233450000174344,67,Middle Rockies,133880389297.000000000000000,13388039,4843,96748903179.399993896484375,72,Northwestern Forested Mountains,Western Cordillera,6.2.10: Middle Rockies
44,1,44,9,329,UT,SNOTEL,Beaver Dams,39.136830000000003,-111.558130000000006,7990,16,Great Basin Region,1603,Escalante Desert-Sevier Lake,160300,Escalante Desert-Sevier Lake,16030004,San Pitch,1603000404,Twelvemile Creek,160300000000.000000000000000,Headwaters Twelvemile Creek,-8,6/18/1980 0:00:00,1/1/2100 0:00:00,44700000000.000000000000000,2717030.200000000186265,44,6.200000000000000,6,6.2.13,2717030.170359999872744,70,Wasatch and Uinta Mountains,44678389660.400001525878906,4467839,3964,30088257535.200000762939453,67,Northwestern Forested Mountains,Western Cordillera,6.2.13: Wasatch and Uinta Mountains
45,1,45,9,330,UT,SNOTEL,Beaver Divide,40.612330000000000,-111.097819999999999,8280,16,Great Basin Region,1602,Great Salt Lake,160202,Jordan,16020203,Provo,1602020301,Soapstone Creek-Provo River,160202000000.000000000000000,Shingle Creek-Provo River,-8,10/1/1978 0:00:00,1/1/2100 0:00:00,44700000000.000000000000000,2717030.200000000186265,45,6.200000000000000,6,6.2.13,2717030.170359999872744,70,Wasatch and Uinta Mountains,44678389660.400001525878906,4467839,3964,30088257535.200000762939453,67,Northwestern Forested Mountains,Western Cordillera,6.2.13: Wasatch and Uinta Mountains
46,1,46,14,902,AZ,SNOTEL,Beaver Head,33.691440000000000,-109.216570000000004,7990,15,Lower Colorado Region,1506,Salt,150601,Salt,15060101,Black,1506010101,Upper Black River,150601000000.000000000000000,Upper Beaver Creek,-8,10/1/1993 0:00:00,1/1/2100 0:00:00,83000000000.000000000000000,2498455.200000000186265,46,13.100000000000000,13,13.1.1,2498455.297230000142008,151,Arizona/New Mexico Mountains,83016512601.300003051757813,8301651,2562,52850099511.500000000000000,63,Temperate Sierras,Upper Gila Mountains,13.1.1: Arizona/New Mexico Mountains
47,1,47,6,990,WA,SNOTEL,Beaver Pass,48.879300000000001,-121.255499999999998,3630,17,Pacific Northwest Region,1711,Puget Sound,171100,Puget Sound,17110005,Upper Skagit,1711000506,Cascade River,171100000000.000000000000000,Upper Big Beaver Creek,-8,10/1/2000 0:00:00,1/1/2100 0:00:00,35200000000.000000000000000,1359260.300000000046566,47,6.200000000000000,6,6.2.5,1359260.416519999969751,62,North Cascades,35158274664.599998474121094,3515827,2605,26082491781.299999237060547,74,Northwestern Forested Mountains,Western Cordillera,6.2.5: North Cascades
